ID,ISO1_3C,Longitude,Latitude,Population,NameID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,COPD_ave,CVD,CVD_F,CVD_M,CVD_ave,HIV,HIV_F,HIV_M,HIV_ave,Hypertension,Hypertension_F,Hypertension_M,HTN_ave,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65,Cases_Active,Cases_Confirmed,Cases_Deaths,Deaths/100k,Deaths/100k,
PL,POL,19.15,51.92,37846605,Poland,19.82503627,21.21631061,5.196757317,6.982774734,34.58456,10.737084,107.14614,6.1,23.1,26,98862288.3,1.919003402,3.172369983,2.5,270990330.9,6.738324064,7.106515073,6.9,1443053.372,0.019986544,0.054933149,0.0,1342881773,30.6117789,38.2046354,34.4,0.318493678,0.209868118,0.0653223,0,0,39196280,66.624763,7218390,154804,2877007,74515,197,197,
RO,ROU,24.97,45.94,19237682,Romania,14.61883331,15.509286,3.734638214,5.596422672,59.19165,27.21394,205.01826,6.9,22.5,25.5,88001798.52,1.661588635,3.573942368,2.6,260654622.4,6.921875446,8.494089225,7.7,2824891.712,0.071203495,0.096043834,0.1,1202498785,32.6390232,38.4484721,35.5,0.312981646,0.203049162,0.07134805,0,1,33893300,85.580498,6466988,4046,1079530,31681,165,165,
RS,SRB,21.01,44.02,8737370,Serbia,16.81951624,19.00135561,3.659790993,5.81068325,41.465515,20.971434,147.75357,9,21.5,40.6,22037360.25,2.713003494,3.621758692,3.2,57666794.14,7.645375851,8.90269154,8.3,171473.067,0.009914125,0.039962624,0.0,244900228.6,32.5023228,37.7724945,35.1,0.320982497,0.211862013,0.08079059,0,0,6983139,55.530155,1291321,707683,714634,6951,80,80,
RU,RUS,105.32,61.52,145934460,Russia,8.438950964,14.14287343,0.867717385,7.562550068,2153.8687,883.90796,2744.0242,6.1,23.1,28.3,295302916.7,1.403024577,2.934325959,2.2,1127026350,7.761426974,8.320543164,8.0,103888421.2,0.476182745,1.053120041,0.8,4464388161,29.4456938,34.5128774,32.0,0.319503297,0.230374213,0.07331579,0,1,140596976,3.3787088,21921128,270140,5120578,123568,85,85,
SA,SAU,45.08,23.89,34813867,Saudi Arabia,42.18707222,41.84664083,1.440440774,4.384817123,651.49451,458.2229,1131.3657,15.8,35.4,16.6,79881318.18,2.036053573,2.25603744,2.1,306279655.8,7.813679469,8.644913034,8.2,931576.9985,0.028089709,0.023147879,0.0,700850604.6,16.2387495,20.9761112,18.6,0.204479967,0.22683033,0.04067316,458,0,36924304,15.042521,1370439,10112,463703,7537,22,22,
SE,SWE,18.64,60.13,10099270,Sweden,4.595763039,7.167540329,2.106477022,6.02080965,197.89499,59.38657,498.07288,4.8,20.6,28.8,35335397.38,3.566626788,3.405950095,3.5,71426263.46,6.660035194,7.434348637,7.0,494870.0845,0.035710439,0.061944138,0.0,262709272.2,22.3075856,29.5328683,25.9,0.311940148,0.209239091,0.06041234,0,3,10135501,9.0574884,2040648,1068882,1083456,14574,144,144,
SK,SVK,19.7,48.67,5459643,Slovakia,17.08967351,17.80515227,4.38517046,5.457112312,44.064159,13.586867,116.71828,6.5,20.5,32.3,11519645.92,1.572357898,2.689665056,2.1,40232227.38,6.543068301,8.279111694,7.4,31428.81909,0.003441519,0.0082372,0.0,180024331.7,29.2319972,37.0945136,33.2,0.308858518,0.211896255,0.06773022,0,0,5447615,63.127808,904392,123160,390893,12433,228,228,
TR,TUR,35.24,38.96,84339067,Turkey,15.87613465,16.99525334,3.454675436,7.03189373,73.96611,37.552265,277.27841,11.1,32.1,29.3,284732914.6,2.619489394,4.495536819,3.6,526944005.2,6.431828087,6.744150642,6.6,493504.4523,0.004098073,0.008231458,0.0,1586345095,20.4426575,19.2289113,19.8,0.237765964,0.224677344,0.04544678,1,0,80240488,69.21508,7055986,77821,5319359,48593,58,58,
US,USA,-100,40,329466283,United States,6.287575989,8.394332557,2.625198603,9.195489883,1269.0768,552.40851,2004.4257,10.8,36.2,25.1,488915287.8,3.875953504,4.087717116,4.0,1016090350,7.98210583,8.570509238,8.3,58088517.77,0.257427997,0.694525494,0.5,2019186510,14.9656406,17.9534315,16.5,0.284804316,0.199800584,0.05841929,4,33,122832256,17.339632,18905654,32838566,33437746,599180,182,182,
YE,YEM,48.52,15.55,29825968,Yemen,40.67463023,30.32659049,1.300950289,4.320763588,575.41827,342.09579,569.66577,5.4,17.1,20.9,64626643.7,1.855930974,2.41474263,2.1,253249674.1,7.752912296,8.996979601,8.4,763378.2376,0.016905818,0.033387541,0.0,681000619.6,22.4355201,22.6539733,22.5,0.160482047,0.236015734,0.02851975,1,0,30204364,54.946499,908214,1817,6856,1342,4,4,
