Country,Latitude,Diabetes,Obesity,Smoking,COPD,CVD,HIV,Hypertension,Pop_Density,Pop_65,Confirmed,Deaths,C19/100k,MERS per 100k,SARS per 100k
MNG,46.86,4.7,20.6,27.6,4366436.768,26800332.6,44807.98332,78143328.01,1.1974641,137865,72104,342,2199.4,0.000000,0.274533
MRT,21.01,7.1,12.7,NA,7901723.818,30257671.5,183945.2198,114477516,3.44117,137361,20005,473,430.2,0.000000,0.000000
MLT,35.94,8.3,28.9,25.1,1107214.406,2419818.873,36942.38936,10373416.72,890.15558,87297,30579,419,6925.5,0.000000,0.000000
MUS,-20.35,22,10.8,26.9,2681014.175,7942827.678,298849.7533,34010037.06,499.3714,156019,1564,18,123.0,0.000000,0.000000
MDV,3.2,9.2,8.6,NA,1186938.329,2107172.664,1211.366349,7322137.575,1031.91,15582,69831,192,12918.7,0.000000,0.000000
MWI,-13.25,4.5,5.8,12.8,29290420.95,130845605.5,147228121.3,400687430.9,161.83484,531276,34470,1158,180.2,0.000000,0.000000
MEX,23.63,13.5,28.9,13.9,336723022.8,743005982.6,25372020.39,2601789453,56.18718,10329350,2448820,229823,1916.3,0.000000,0.000000
MYS,4.21,16.7,15.6,21.8,75621356.64,241543212,5982055.843,713220904.8,89.213837,2346693,646411,3768,1997.2,0.003090,0.015448
MOZ,-18.67,3.3,7.2,14.4,50271080.88,230497198.2,328777317.9,702617604.6,32.357014,883920,71355,840,228.3,0.000000,0.000000
NER,17.61,2.4,5.5,8.6,41865112.08,147182984.7,6875714.381,650259972.2,16.517529,613380,5446,192,22.5,0.000000,0.000000
NGA,9.08,3.1,8.9,4.8,295328342.1,1447032202,275196475,3935214716,200.99638,6906270,167051,2117,81.0,0.000000,0.000000
NIC,12.87,11.4,23.7,NA,12826248.56,38089652.67,1633335.501,117556074.5,47.886776,418654,7662,188,115.7,0.000000,0.000000
NLD,52.13,5.4,20.4,23.4,73706295.73,106036116.2,1813710.709,432887221.7,257.38358,3389600,1670498,17708,9749.1,0.005836,0.000000
NOR,60.47,5.3,23.1,18.4,20866501.03,37009082.81,343835.0232,129668135.4,6.0060945,905258,127874,789,2358.8,0.000000,0.000000
NPL,28.17,7.2,4.1,31.9,154040703.4,225753680.1,4170947.262,1065874920,208.85182,2793981,604396,8305,2074.3,0.000000,0.000000
NZL,-40.9,6.2,30.8,14.8,16339238.61,28033976.73,262954.539,87919044.86,10.502871,710564,2702,26,56.0,0.000000,0.020737
OMN,21.51,10.1,27,9.6,5242125.066,32260852.03,205183.8078,60040568,9.6551275,93440,230219,2467,4508.2,0.078330,0.000000
PAN,8.54,7.7,22.7,6.9,6814224.702,22109024.2,2146103.193,77951716.34,45.349392,335642,386269,6427,8952.3,0.000000,0.000000
PER,-9.19,6.6,19.7,9.6,1375602.365,4668719.244,264585.1533,13138946.7,26.992483,96171,1998056,188100,6059.9,0.000000,0.000000
PNG,-6.31,17.9,21.3,NA,29100886.1,60970209.75,9535315.575,186099910.6,16.816847,371562,16621,164,185.8,0.000000,0.000000
PHL,12.88,7.1,6.4,24.3,268964686.1,684081147.3,27575253.76,2001466105,298.05307,5306471,1300349,22507,1186.7,0.000913,0.012776
PAK,30.38,19.9,8.6,20,624784709.2,1711237962,8990476.984,5876583913,196.26926,10509906,939931,21633,425.5,0.000000,0.000000
POL,51.92,6.1,23.1,26,98862288.3,270990330.9,1443053.372,1342881773,66.624763,7218390,2877007,74515,7601.8,0.000000,0.000000
PRT,39.4,9.8,20.8,27.9,31846309.18,56839109.05,3746502.027,335976595.6,76.586342,2371285,855951,17044,8394.4,0.000000,0.000000
PRY,-23.44,9.6,20.3,12.8,14101942.19,43042402.86,1816427.833,161996614.7,14.803046,505221,387687,10561,5435.5,0.000000,0.000000
QAT,25.35,15.6,35.1,14,12664016.34,51832640.81,34004.74719,101716786.6,447.6106,117944,219466,574,7617.5,1.145412,0.000000
ROU,45.94,6.9,22.5,25.5,88001798.52,260654622.4,2824891.712,1202498785,85.580498,6466988,1079530,31681,5611.5,0.000000,0.005198
SRB,44.02,9,21.5,40.6,22037360.25,57666794.14,171473.067,244900228.6,55.530155,1291321,714634,6951,8179.1,0.000000,0.000000
RUS,61.52,6.1,23.1,28.3,295302916.7,1127026350,103888421.2,4464388161,3.3787088,21921128,5120578,123568,3508.8,0.000000,0.000685
RWA,-1.94,5.1,5.8,13.3,25765641.32,84676138.11,29894589.07,264645500.5,475.23151,364198,27862,368,215.1,0.000000,0.000000
SAU,23.89,15.8,35.4,16.6,79881318.18,306279655.8,931576.9985,700850604.6,15.042521,1370439,463703,7537,1331.9,1.315568,0.000000
SLB,-9.65,19,22.5,37.9,839369.0034,3716704.335,69820.11549,9416973.746,16.420527,19218,20,0,3.1,0.000000,0.000000
SDN,12.86,22.1,6.6,NA,82295766.49,367682160.5,13466992.89,1026781343,18.723856,1548412,36203,2719,82.6,0.000000,0.000000
SWE,60.13,4.8,20.6,28.8,35335397.38,71426263.46,494870.0845,262709272.2,9.0574884,2040648,1083456,14574,10728.1,0.000000,0.029705
SGP,1.28,5.5,6.1,16.5,7629954.209,23319664.87,286577.5848,74905299.3,5671.6699,674853,62245,34,1064.0,0.000000,4.068138
SVN,46.15,5.9,20.2,22.7,4697763.311,16562177.31,24477.32036,83514169.52,65.252426,446441,256224,4398,12324.8,0.000000,0.000000
SVK,48.67,6.5,20.5,32.3,11519645.92,40232227.38,31428.81909,180024331.7,63.127808,904392,390893,12433,7159.7,0.000000,0.000000
SLE,8.46,2.4,8.7,19.8,12928093.78,47987561.13,8228772.68,157861816.6,78.872162,172757,4312,82,54.1,0.000000,0.000000
SEN,14.5,2.4,8.8,9.1,29214548.99,108766218.6,6744405.554,373936701.9,68.647728,494296,41900,1150,250.2,0.000000,0.000000
SOM,5.15,5.1,8.3,NA,17430221.96,72328787.32,2853692.339,284644605.1,14.770324,304146,14779,774,93.0,0.000000,0.000000
SUR,3.92,12.5,26.4,NA,979355.3043,4579227.83,384547.8686,13567294.36,3.6537883,42542,17799,390,3034.1,0.000000,0.000000
SSD,6.88,10.2,6.6,NA,26802236.45,116939326.2,27340705.23,NA,22.637863,558327,10688,115,95.5,0.000000,0.000000
STP,0.19,2.4,12.4,5.4,709514.6528,1600357.239,3477.471026,3953134.8,170.83603,5643,2356,37,1075.0,0.000000,0.000000
SLV,13.79,8.8,24.6,12.7,11595011.78,34926810.37,2476099.8,113567632.9,275.14362,592332,75351,2288,1161.7,0.000000,0.000000
SYR,34.8,13.5,27.8,NA,55803200.32,231026890.7,77087.57255,544300177.8,101.09008,1312302,24767,1806,141.5,0.000000,0.000000
SWZ,-26.52,4.5,16.5,10.7,2986305.851,7397892.95,25123087.99,NA,48.426716,35134,18723,676,1613.8,0.000000,0.000000
TCD,15.45,6,6.1,11.8,28510598.32,103106745.3,21678728.96,403384088.4,10.751407,429745,4942,174,30.1,0.000000,0.000000
TGO,8.62,2.4,8.4,7.6,17728284.63,58971820.9,14915788.58,191627965.1,129.88596,241289,13597,126,164.2,0.000000,0.000000
THA,15.87,7,10,22.8,159311438.5,417571556.3,48982853.73,1868332637,120.34926,9177435,189828,1402,272.0,0.002865,0.012894
TJK,38.86,6.1,14.2,NA,17752275.81,71905069.45,502080.187,194052289.4,44.607059,355590,13308,90,139.5,0.000000,0.000000
TLS,-8.87,6.7,3.8,38.2,3592832.634,8591195.869,449220.5701,29591265.23,79.17646,47606,8145,18,617.8,0.000000,0.000000
TUN,33.89,8.5,26.9,26,25670131.87,89354004.1,302001.8068,264918845.7,53.360607,1022648,364819,13365,3086.8,0.016922,0.000000
TUR,38.96,11.1,32.1,29.3,284732914.6,526944005.2,493504.4523,1586345095,69.21508,7055986,5319359,48593,6307.1,0.001186,0.000000
TTO,10.69,11,18.6,NA,1701824.066,10598088.29,852933.0144,37717703.03,222.79495,146446,28106,644,2008.3,0.000000,0.000000
TZA,-6.37,5.7,8.4,13.3,75368182.04,387027830.8,206008001.2,1178091714,53.963715,1738521,509,21,0.9,0.000000,0.000000
UKR,48.38,6.1,NA,25.5,94925425.2,352789837.8,24004392.16,1418268543,41.585991,7573280,2281303,53683,5216.3,0.000000,0.000000
UGA,1.37,2.5,5.3,9.8,68274942.49,272130034.3,214023824.9,822108405,173.13625,913702,58515,408,127.9,0.000000,0.000000
USA,40,10.8,36.2,25.1,488915287.8,1016090350,58088517.77,2019186510,17.339632,18905654,33437746,599180,10149.1,0.001214,0.010016
URY,-32.52,7.3,27.9,21.8,11938048.62,17718566.61,1202142.071,81519433.21,13.635397,496691,333484,4906,9600.2,0.000000,0.000000
UZB,41.38,6.5,16.6,12.3,57448717.7,290521922.9,2235592.004,729937151.8,50.208542,1656024,102892,704,307.4,0.000000,0.000000
VEN,6.42,7,25.6,NA,67462736.53,149772651.7,10435642.44,556387368.5,29.755188,2260556,248820,2797,875.0,0.000000,0.000000
VNM,14.06,6,2.1,NA,314843454.9,578328864.3,22720734.53,2200240989,246.12982,7772058,10048,57,10.3,0.000000,0.064723
YEM,15.55,5.4,17.1,20.9,64626643.7,253249674.1,763378.2376,681000619.6,54.946499,908214,6856,1342,23.0,0.003353,0.000000
ZAF,-30.56,12.7,28.3,31.4,146653863.3,422230874.6,841024633.1,1436101592,36.822422,3406292,1730106,57592,2917.1,0.000000,0.001686
ZMB,-13.13,4.5,8.1,14.7,31752816.98,119162707.3,175343170,364552977.6,20.976574,437770,107974,1348,587.3,0.000000,0.000000
ZWE,-19.02,1.8,15.5,13.9,30777412.9,97955785.47,155974157.9,291135740.7,29.928238,405155,39688,1629,267.0,0.000000,0.000000
NAM,-22.96,4.5,17.2,17.9,5914689.096,15801359.28,25076712.57,54467378.07,2.3509934,85486,62806,973,2471.8,0.000000,0.000000
