ID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,CVD,CVD_F,CVD_M,HIV,HIV_F,HIV_M,Hypertension,Hypertension_F,Hypertension_M,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65
LK,20.55271903,20.84649087,2.166710854,3.569536209,62.556282,26.82362,126.45401,10.7,5.2,22.9,53655134.5,1.809172983,3.295348705,119836761.8,5.317357603,5.987116963,194459.9978,0.00598582,0.012557351,505965361.2,23.8161309,23.8097375,0.257863131,0.22356717,0.05377506,0,0,21247398,273.98676,2381162
LR,46.38101029,45.89528197,0.483755797,1.262639046,252.41579,92.205231,177.59203,2.4,9.9,8.4,6933465.082,1.765846857,1.324591194,29311191.37,6.268727519,6.786564887,4216294.463,1.147772094,0.732135932,100094637.4,21.8866092,22.6996581,0.153166664,0.227377058,0.03038799,0,0,4489604,39.794048,138281
LS,9.163576609,9.6686163,1.852990746,3.050389767,143.39404,26.975801,144.25728,4.5,16.6,29.7,5708075.508,2.574891282,3.546290457,12023503.48,6.143686956,6.732772676,38059363.46,23.14123762,17.52977219,40160564.32,23.8788378,19.0504679,0.299210923,0.358621274,0.05748642,0,0,1868527,45.610535,84421
LT,12.74846528,13.18563176,4.917281628,6.401962757,51.771824,16.503244,158.9675,3.8,26.3,27.1,4942691.542,1.12159062,2.597225589,21384422.11,7.143863763,8.516008335,182782.2522,0.046272329,0.090351759,95095490.38,31.2301185,38.5094733,0.351970956,0.22302972,0.07517307,0,0,2751951,20.798796,557405
LU,12.23447155,12.41857928,6.464730263,7.271630764,14.750108,7.8539624,84.870201,5,22.6,21.7,2177368.3,3.520175944,3.892894626,3796043.13,6.188103071,6.736197479,47118.30086,0.050330686,0.109942459,15448536.87,21.0584288,31.5155674,0.30315196,0.222612536,0.05663099,0,0,588958,127.17725,87267
LV,10.3596921,10.71653427,4.585998535,6.517357349,77.60321,21.58433,213.04385,5,23.6,36.7,3676309.867,1.029818311,2.026898566,19254984.06,6.905370545,8.815208746,495463.7041,0.153303612,0.255879367,90282974.19,33.1789639,40.378593,0.35005956,0.223729097,0.07817345,0,0,2475918,18.102781,511381
LY,34.53110788,24.30999475,0.488548815,3.199557066,1612.1366,1014.631,2541.364,10.2,32.5,NA,17796817.31,2.094935839,3.052350939,60196853.88,8.18838591,9.238482417,139657.0686,0.020165483,0.020282367,142194307.6,18.5933124,22.560495,0.224573761,0.252946338,0.04442997,0,0,6905388,3.2579422,320630
MA,19.37841328,15.87643583,1.912346482,5.346463203,125.76559,90.645508,588.40106,7,26.1,14.7,71102978.87,1.631104181,2.367031725,316327556.3,8.197014156,9.584295546,1329770.814,0.036811287,0.037922737,846847199.3,23.7611276,23.8302782,0.237907122,0.239661223,0.04754715,0,0,35588768,62.71801,2680046
MD,12.85920281,12.93845927,4.738976002,5.183413029,58.740223,20.265041,128.39287,5.7,18.9,25.3,8033595.509,1.482767178,2.9353543,26777222.23,6.527074918,8.04553883,729331.1881,0.182824969,0.213599908,122887787.8,31.4667605,35.2641947,0.295561048,0.227224083,0.0709515,0,0,3692799,63.735989,476623
ME,14.63134562,14.60068645,2.296006918,2.249615431,78.532608,33.244465,186.83643,9,23.3,NA,842262.1445,1.147357062,1.633233692,4672517.288,6.943906819,8.464806045,8368.261647,0.00756954,0.020168323,20648060.15,30.1873794,37.9188914,0.291755561,0.210141916,0.07016305,0,0,607337,29.088402,98336
